city,time,pm25,pm10,no2,so2,co,o3
india/ahmedabad/maninagar,2025-07-02 22:00:00,89,59,10.9,6.9,3.3,6.5
india/vapi/phase-1-gidc,2025-07-02 22:00:00,146,93,5.0,15.6,,0.9
