city,time,pm25,pm10,no2,so2,co,o3
india/ahmedabad/maninagar,2025-07-09 14:00:00,105,60,6.8,12.8,5.7,4.8
india/vapi/phase-1-gidc,2025-07-09 14:00:00,108,96,5.0,15.3,,0.8
