city,temperature,humidity,heat_index,time,pm25,pm10,no2,so2,co,o3
"Ahmedabad,IN",32.85,51,36.27,2025-07-09 14:00:00,105,60,6.8,12.8,5.7,4.8
"Vapi,IN",27.09,87,30.67,2025-07-09 14:00:00,108,96,5.0,15.3,3.3,0.8
