city,time,pm25,pm10,no2,so2,co,o3,temperature,humidity,heat_index
"Ahmedabad,IN",2025-07-02 22:00:00,89,59,10.9,6.9,3.3,6.5,29.59,71,34.28
"Vapi,IN",2025-07-02 22:00:00,146,93,5.0,15.6,3.3,0.9,26.78,94,30.48
